disease,count,mesh_id,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Influenza,102,D007251,"Influenza, Human",Influenza in Birds,Vaccinia,Infectious Mononucleosis,Respiratory Syncytial Virus Infections,D007251,D005585,D014615,D007244,D018357
COVID-19,99,D000094024,Post-Acute COVID-19 Syndrome,Trisomy 18 Syndrome,"Conjunctivitis, Inclusion",Rabies,Vaccinia,D000094024,D000073842,D003235,D011818,D014615
Systemic Lupus Erythematosus,86,D008181,"Panniculitis, Lupus Erythematosus",Sclerosis,Lupus Nephritis,Lupus Vulgaris,"Scleroderma, Diffuse",D015435,D012598,D008181,D008177,D045743
Crohn's Disease,76,D003424,Crohn Disease,Celiac Disease,"Diverticulitis, Colonic","Colitis, Lymphocytic","Colitis, Collagenous",D003424,D002446,D004239,D046730,D046729
Asthma,72,D059366,"Asthma, Occupational","Asthma, Exercise-Induced","Asthma, Aspirin-Induced",Status Asthmaticus,Anaphylaxis,D059366,D001250,D055963,D013224,D000707
Ulcerative Colitis,72,D003093,"Colitis, Ulcerative","Colitis, Ischemic","Colitis, Collagenous","Colitis, Lymphocytic",Colitis-Associated Neoplasms,D003093,D017091,D046729,D046730,D000083023
Hepatocellular Carcinoma,68,D006528,"Carcinoma, Hepatocellular",Hepatoblastoma,Nasopharyngeal Carcinoma,Adrenocortical Carcinoma,"Carcinoma, Lobular",D006528,D018197,D000077274,D018268,D018275
Alzheimer's Disease,65,D000544,Alzheimer Disease,"Dementia, Vascular","Plaque, Amyloid",Adie Syndrome,Frontotemporal Dementia,D000544,D015140,D058225,D000270,D057180
Psoriasis,63,D015535,"Arthritis, Psoriatic",Pemphigus,"Dermatitis, Photoallergic",Dermatitis Herpetiformis,"Pemphigoid, Bullous",D015535,D010392,D017454,D003874,D010391
Chronic Obstructive Pulmonary Disease,53,D000080445,Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome,Pulmonary Heart Disease,Pulmonary Veno-Occlusive Disease,Pulmonary Emphysema,"Bronchitis, Chronic",D000080445,D011660,D011668,D011656,D029481
Rheumatoid Arthritis,52,D056653,Rheumatoid Vasculitis,Rheumatoid Nodule,"Arthritis, Juvenile","Arthritis, Psoriatic","Arthritis, Gouty",D056653,D012218,D001171,D015535,D015210
Parkinson's Disease,51,D010300,Parkinson Disease,"Parkinson Disease, Postencephalitic",Lewy Body Disease,Synucleinopathies,Wolff-Parkinson-White Syndrome,D010300,D010301,D020961,D000080874,D014927
Idiopathic Pulmonary Fibrosis,49,D011658,Pulmonary Fibrosis,Idiopathic Hypersomnia,Retroperitoneal Fibrosis,Familial Primary Pulmonary Hypertension,Cystic Fibrosis,D011658,D020177,D012185,D065627,D003550
Multiple Sclerosis,47,D020529,Sclerosis,Multiple Myeloma,"Multiple Sclerosis, Relapsing-Remitting","Multiple Sclerosis, Chronic Progressive",Multiple System Atrophy,D012598,D009101,D020529,D020528,D019578
Breast Cancer,44,D018270,Breast Cancer Lymphedema,"Carcinoma, Ductal, Breast","Breast Neoplasms, Male",Breast Carcinoma In Situ,Inflammatory Breast Neoplasms,D000072656,D018270,D018567,D000071960,D058922
Colorectal Carcinoma,44,D003123,"Carcinoma, Hepatocellular",Adrenocortical Carcinoma,Nasopharyngeal Carcinoma,"Carcinoma, Medullary",Colonic Polyps,D006528,D018268,D000077274,D018276,D003111
